iter	Logloss
0	0.656175694
1	0.6245992827
2	0.5943549732
3	0.5723088187
4	0.5488250154
5	0.5263235114
6	0.5063206495
7	0.4880276182
8	0.4750283705
9	0.4618642144
10	0.4492037625
11	0.4387051479
12	0.4289498155
13	0.4203970297
14	0.4110038814
15	0.4030932994
16	0.3954678459
17	0.3899432426
18	0.3818736206
19	0.3767326814
20	0.3723585127
21	0.3665501938
22	0.3605147026
23	0.3539887876
24	0.3495410916
25	0.3443204468
26	0.3407672817
27	0.3366476556
28	0.3322051717
29	0.3288005776
30	0.3251810779
31	0.3207204993
32	0.315547024
33	0.3121778972
34	0.3089961797
35	0.3056290577
36	0.3036425059
37	0.3003323513
38	0.2979832019
39	0.2960378027
40	0.2934856078
41	0.2913844268
42	0.2890181898
43	0.2865005243
44	0.2843820942
45	0.2813235583
46	0.2783276331
47	0.2751158679
48	0.272871464
49	0.2706113453
50	0.2683585074
51	0.2662846312
52	0.2640575101
53	0.2617106788
54	0.2597129444
55	0.2569889675
56	0.2547920939
57	0.2525696233
58	0.250674112
59	0.2485475487
60	0.2462748375
61	0.2447090668
62	0.2433545028
63	0.2414370082
64	0.2394461138
65	0.2377831901
66	0.2352808997
67	0.2334279388
68	0.2317817766
69	0.2302741888
70	0.2287187574
71	0.226729572
72	0.2255508721
73	0.2244483116
74	0.2231259263
75	0.2214900795
76	0.2194615951
77	0.2180139637
78	0.2167929753
79	0.2157051617
80	0.2148489454
81	0.2136465726
82	0.2118581914
83	0.2110262069
84	0.2095797993
85	0.2086169243
86	0.207204701
87	0.205784942
88	0.2038343613
89	0.2023222151
90	0.2015442797
91	0.2000131854
92	0.1991922364
93	0.1985983114
94	0.1979634273
95	0.1965785613
96	0.1953928428
97	0.1946449384
98	0.193463919
99	0.1923284888
100	0.1917291143
101	0.1905309484
102	0.1896358695
103	0.1880465164
104	0.1868871345
105	0.1859316302
106	0.1844845586
107	0.1837243174
108	0.1823624804
109	0.181676083
110	0.1809128193
111	0.1798849145
112	0.1790198511
113	0.1779366412
114	0.1765070245
115	0.1753329767
116	0.174091093
117	0.1732908562
118	0.172323368
119	0.1715653245
120	0.1701818708
121	0.1694488805
122	0.1688478017
123	0.168166496
124	0.1671243052
125	0.1661686222
126	0.1655605906
127	0.1646877226
128	0.1627884648
129	0.162003949
130	0.1608573852
131	0.1595025889
132	0.1585420509
133	0.1578120702
134	0.1570306289
135	0.1561503863
136	0.1555608918
137	0.1547786896
138	0.1535195262
139	0.1522722811
140	0.1513378178
141	0.1501035968
142	0.1491281052
143	0.1479591373
144	0.146791042
145	0.1458897035
146	0.145199712
147	0.1441362318
148	0.1429216209
149	0.1417361208
150	0.1406099329
151	0.1399436399
152	0.1389082011
153	0.1382293008
154	0.1375294319
155	0.1367845124
156	0.1360529344
157	0.135293403
158	0.1344349045
159	0.1336732216
160	0.1328643378
161	0.1320524706
162	0.1313716327
163	0.1308294375
164	0.130311092
165	0.1296951719
166	0.1291344703
167	0.1282508927
168	0.1273204218
169	0.1267091232
170	0.1260656591
171	0.1255357257
172	0.1249071725
173	0.1242225231
174	0.1234270375
175	0.1227615218
176	0.1221482949
177	0.1214423228
178	0.1210985184
179	0.1202168154
180	0.1195975234
181	0.118833204
182	0.1182114799
183	0.1177438709
184	0.1167007766
185	0.1161552239
186	0.115508337
187	0.1150028809
188	0.1145581641
189	0.1136326344
190	0.1129641477
191	0.1123126167
192	0.1118302839
193	0.1109807445
194	0.1103944891
195	0.1096604475
196	0.1090497587
197	0.108452116
198	0.1077503425
199	0.1068562728
200	0.1061358964
201	0.1054402051
202	0.1046292432
203	0.1039451244
204	0.1033890074
205	0.1028166406
206	0.10251916
207	0.1020347753
208	0.101571071
209	0.1012112633
210	0.1003242701
211	0.09970829515
212	0.09889057378
213	0.09809857063
214	0.09780848435
215	0.09741150155
216	0.09668991431
217	0.09608632214
218	0.09555802091
219	0.09480301538
220	0.09422254417
221	0.09371718113
222	0.0930496156
223	0.09246800538
224	0.09165055787
225	0.0908945663
226	0.09038442837
227	0.09000367957
228	0.08931142142
229	0.08887645316
230	0.08812612812
231	0.08756659942
232	0.08708473788
233	0.08659592103
234	0.08606001889
235	0.08526453257
236	0.0847066965
237	0.08423526995
238	0.08355212951
239	0.08296530516
240	0.08262673254
241	0.08212149072
242	0.08145847081
243	0.08102762311
244	0.08068311388
245	0.08024745513
246	0.07962835645
247	0.0791533073
248	0.0787964014
249	0.07830541116
250	0.07787582213
251	0.07744047179
252	0.07714988365
253	0.07693180048
254	0.07648611921
255	0.07596814707
256	0.07551687727
257	0.07501257292
258	0.07466035686
259	0.07417493788
260	0.07363883047
261	0.07326579168
262	0.07252597709
263	0.07194119791
264	0.07151663347
265	0.07115146299
266	0.07078959816
267	0.06999280118
268	0.0693883163
269	0.06904943596
270	0.06864981421
271	0.06830792599
272	0.06795740979
273	0.06741674972
274	0.274	0.063296275	0.275	0.062855276	0.276	0.062474277	0.277	0.062162278	0.278	0.06181279	0.06547721148
280	0.06488454828
281	0.06444498563
282	0.06416648958
283	0.06368170227
284	0.06343045138
285	0.0285	0.05909286	0.0286	0.05849287	0.287	0.058019288	0.288	0.057635289	0.289	0.057303290	0.290	0.056761291	0291	0.0563588292	0292	0.0558533293	0293	0.0555739294	0294	0.0553390295	0295	0.0550708296	0296	0.0546728297	0297	0.054246298	0.298	0.054044299	0.0582640079
30746
05346492864
