source,object_id,orbital_period,transit_duration,planet_radius,stellar_temp,stellar_radius,stellar_mass,transit_depth,equilibrium_temp,insolation,disposition
TESS,1057.01,51.1701501,6.6641048,2.9366826,5599.0,0.943356,,851.4547808,466.7322968,11.2148229,CANDIDATE
TESS,1058.01,11.1296441,7.0473822,12.8402271,5785.0,3.4475601,,951.6169809,1518.2372485,1255.6817164,CANDIDATE
TESS,1059.01,9.4496506,2.021,17.0216,5509.0,0.94,,19750.0,694.0,38.5799,CANDIDATE
TESS,106.01,2.8493825,3.567,16.3869,6900.0,1.77,,8049.0,1864.0,2005.83,CONFIRMED
TESS,1060.01,2.0685633,0.373,3.89739,5687.9,1.14,,502.0,619.0,24.409,CANDIDATE
TESS,1061.01,0.540933,1.674337,2.28501,5525.0,1.21935,,257.347459,,,FALSE_POSITIVE
TESS,1062.01,4.1150576,1.08,2.30057,5394.0,0.89,,487.0,826.0,77.3573,CONFIRMED
TESS,1063.01,10.0665238,2.4023189,2.7272824,5552.0,0.791742,,839.9044871,694.1792631,54.8791715,CANDIDATE
TESS,1064.01,6.4438657,1.9309449,2.460344,4803.0,0.737189,,1121.9512275,712.2812841,60.831305,CONFIRMED
TESS,1064.02,12.2265595,2.1904379,2.6014766,4803.0,0.737189,,1206.3693293,575.3502049,25.8970378,CONFIRMED
TESS,1065.01,2.160344,1.828854,22.503541,5780.0,1.2,,19357.992992,,,CONFIRMED
TESS,1066.01,4.606184,3.121643,12.962219,5670.0,1.07,,13793.034867,,,CONFIRMED
TESS,1067.01,3.1316735,2.4579197,9.4995191,4351.0,0.76701,,14915.6943722,890.5622134,148.6544991,CONFIRMED
TESS,1068.01,3.180362,2.111521,13.446487,5498.0,0.92,,21192.463324,,,CONFIRMED
TESS,1069.01,2.9776446,2.962,14.4339,5703.0,1.22,,13022.0,1461.0,758.324,CONFIRMED
TESS,107.01,3.9502008,4.444,20.5357,6153.0,1.71,,13914.0,1570.0,1009.38,CONFIRMED
TESS,1070.01,2.9776152,3.25697,26.88423,5740.0,1.28,,43218.111683,1386.5,873.27,FALSE_POSITIVE
TESS,1071.01,3.5544026,2.0550535,13.200677,5639.0,1.11499,,10164.8753396,1214.9876435,515.0014435,CONFIRMED
TESS,1072.01,12.8379689,9.8464123,25.4886382,5765.0,2.4494,,10539.0192794,1225.0,374.129,FALSE_POSITIVE
TESS,1073.01,3.9228016,1.8736007,13.3368705,4444.0,0.6983,,31510.9004906,788.0973496,91.167589,CONFIRMED
TESS,1074.01,13.9428705,3.7522756,2.4233421,5206.0,0.741671,,1015.395543,587.1759148,28.0927293,CANDIDATE
TESS,1075.01,0.6047392,1.0403847,1.8625587,4046.0,0.580337,,1027.6833479,1222.5973095,528.0253155,CONFIRMED
TESS,1076.01,2.5495611,2.6173308,12.9171288,5659.0,1.03997,,14921.4021936,1337.8645148,757.1284067,CONFIRMED
TESS,1077.01,1.6062693,1.9561305,12.6436029,5192.0,0.984326,,16725.3019333,1374.8018137,844.2700581,CANDIDATE
