orbital_period,transit_duration,planet_radius,stellar_temp,stellar_radius,transit_depth,disposition
3.0440541,2.5984575,12.1086799,5523.0,0.809868,22236.0165376,CONFIRMED
3.9652485,1.0112593,1.2305102,3296.0,0.199988,3680.7544436,CANDIDATE
2.98278,3.109528,11.467011,6027.0,1.23975,6136.231662,CANDIDATE
16.3469053,3.5865698,3.5059571,4310.0,0.649613,2212.4257252,CANDIDATE
12.9802953,2.5034417,2.4241912,3614.0,0.491323,2407.2608671,CANDIDATE
1.3484961,2.4074261,15.8824638,6346.0,1.14759,18463.7636682,CONFIRMED
3.2541181,4.341,14.9476,6102.0,1.28,13620.0,CANDIDATE
3.7178828,5.5277827,14.6986197,5818.0,2.0840001,4864.8405125,CANDIDATE
9.30992,3.464,14.2968,6907.0,3.09,2220.0,FALSE_POSITIVE
1.15395,2.236,5.48364,6093.0,1.4,1550.0,FALSE_POSITIVE
2.76676,2.6872178,12.2867389,5346.0,0.984866,14947.4387827,CONFIRMED
2.19296,4.586,22.7769,7009.8,2.95,4933.74,FALSE_POSITIVE
1.725841,3.674,15.0024,7348.0,2.39,2710.0,CANDIDATE
1.1923,3.119,30.666,6534.0,2.04,3730.0,FALSE_POSITIVE
0.5971314,0.468,9.08382,7710.0,2.28,910.0,CANDIDATE
1.4821386,2.1867078,13.7339261,7066.0,2.6647301,2102.6568299,CANDIDATE
0.9209526,1.8602735,5.7349089,6553.0,2.8908899,360.8801529,FALSE_POSITIVE
9.188506,2.492,2.16591,5876.0,0.98,460.0,CONFIRMED
13.9028391,2.1264429,2.6136848,5876.0,0.983215,647.2701039,CONFIRMED
10.1826983,2.8275109,3.0538057,6153.0,1.14582,667.4752458,CONFIRMED
6.441006,1.812,2.56374,4867.0,0.8,914.0,CONFIRMED
3.1743504,2.751086,14.9172256,5943.0,1.15706,15457.3247576,CONFIRMED
20.0731588,3.8449215,4.0506906,6033.0,1.14849,1152.9645461,FALSE_POSITIVE
2.66903,1.548,9.36823,5803.5,1.56,3110.0,FALSE_POSITIVE
6.63371,2.122,2.75375,4138.1,0.63,1555.34,FALSE_POSITIVE
2.94308,4.073,45.3525,4437.0,3.13,4490.0,CANDIDATE
341.2811281,6.303026,4.7531892,6058.6,1.39203,972.5797241,FALSE_POSITIVE
10.8680523,2.375,2.90726,4664.0,0.76,1553.0,CANDIDATE
11.1149,2.26,14.7645,5042.0,4.94,900.0,CANDIDATE
4.0782392,4.8475616,13.898174,6501.0,1.74836,6046.6959687,CONFIRMED
7.14386,1.467,22.1531,7860.0,1.91,11146.4,FALSE_POSITIVE
7.04083,2.979,8.46404,5317.0,0.91,1580.0,FALSE_POSITIVE
2.1061569,1.4688934,13.086872,5380.0,0.940697,12142.2238514,CONFIRMED
2.4545635,2.321,11.1276,6610.0,1.64,4248.0,FALSE_POSITIVE
11.4756978,0.808,14.1098,7262.0,2.13,8341.0,FALSE_POSITIVE
2.78186,2.456,4.92567,6819.0,2.21,490.0,FALSE_POSITIVE
6.4410082,1.798,4.59203,3469.0,0.53,7076.0,FALSE_POSITIVE
4.45199,2.109,15.8858,6708.3,1.57,8483.38,CANDIDATE
5.0100708,2.0644756,2.3107394,5551.0,0.906282,409.4812214,CANDIDATE
2.2281625,2.015,2.56778,5731.0,1.02,630.0,CANDIDATE
10.95663,3.588,23.9726,6456.0,2.07,3830.0,CANDIDATE
2.4997996,2.865171,13.8516093,5650.0,1.13732,14621.2059647,CONFIRMED
1.66226,3.321,13.3343,7301.0,1.64,6030.0,FALSE_POSITIVE
3.6245513,3.042,4.3503,6317.0,1.38,1299.0,FALSE_POSITIVE
1.20928,1.886,15.1764,5159.8,1.27,11883.8,CANDIDATE
3.5187707,2.408,14.0061,6690.0,1.49,5634.0,CANDIDATE
0.7724825,1.3744974,4.1624907,8271.0,2.5027299,211.3168519,CANDIDATE
1.6268695,3.231,2.36498,5034.0,0.73,1502.0,FALSE_POSITIVE
13.5499,1.795,6.24633,6209.0,1.63,1180.0,FALSE_POSITIVE
4.43651,3.365,19.9664,7101.9,2.32,1520.0,FALSE_POSITIVE
3.372877,2.63426,14.201803,6050.0,1.02,17163.60419,CONFIRMED
8.34998,1.836,11.1424,4236.0,0.74,16680.0,CONFIRMED
4.0686405,1.8373729,3.7548333,4236.0,0.741921,2650.0950013,CONFIRMED
0.5860366,0.8098934,4.906408,5579.0,2.39803,410.5241553,CANDIDATE
1.5502952,2.938,3.34528,7851.0,1.86,411.0,FALSE_POSITIVE
1.80709,3.297,4.86242,6244.0,2.2,450.0,FALSE_POSITIVE
18.6922101,7.765,18.1458,6277.0,1.65,11126.0,FALSE_POSITIVE
8.0277326,4.284,9.06883,5962.7,1.15,5705.0,CONFIRMED
12.5187279,5.38,5.58857,5729.0,0.98,2320.0,CONFIRMED
6.2586065,3.201,2.51593,5729.0,0.98,813.0,CONFIRMED
26.3208756,4.414,2.71349,5729.0,0.98,800.0,CONFIRMED
18.795547,4.3425576,2.1597669,5729.0,0.977727,470.6731965,CONFIRMED
1.3206356,1.6000996,34.7561624,4919.6,6.3070302,1052.4255997,CANDIDATE
0.64971,2.076,6.23181,9994.0,2.59,620.0,FALSE_POSITIVE
4.4780798,4.513,11.3678,7947.0,1.83,1054.0,CANDIDATE
3.2887898,3.4367717,10.5135877,5800.0,1.24175,7005.7247902,CONFIRMED
13.7431084,2.285,12.05,5941.5,1.34,5688.0,FALSE_POSITIVE
16.9487087,4.2887767,45.2204505,5894.7,1.1179,156467.5479643,FALSE_POSITIVE
3.3686634,3.012,42.2321,7518.0,2.68,3288.0,FALSE_POSITIVE
11.2071839,4.366,17.4989,6152.0,2.24,3276.0,FALSE_POSITIVE
4.8878037,2.184,5.29152,4757.3,0.76,4279.0,CONFIRMED
0.660179,1.6349369,6.1672487,8598.7,2.62432,473.0939303,FALSE_POSITIVE
10.9278415,2.468,49.1695,6259.0,2.92,2743.0,FALSE_POSITIVE
5.5514888,4.335,15.8043,6403.9,1.55,9493.0,CONFIRMED
4.7423709,2.4988145,10.5505922,5377.0,0.877585,12650.8110411,CONFIRMED
1.4810903,4.1588291,20.3402421,9435.0,2.28773,6788.5145388,CONFIRMED
3.4741012,3.317,21.2912,8894.8,1.62,15748.0,CONFIRMED
6.0360758,1.255,9.86763,6528.3,1.69,987.0,CANDIDATE
21.745537,4.196,2.10208,5704.0,0.93,659.0,CANDIDATE
13.0727479,3.044,35.7944,5709.8,3.59,4080.0,FALSE_POSITIVE
2.9258727,4.075,24.4055,4884.5,1.3,6720.0,FALSE_POSITIVE
0.73774,0.636,5.28215,6449.5,2.1,524.852,FALSE_POSITIVE
2.7985802,2.3801043,11.9514993,4920.0,0.906655,16708.7151957,CONFIRMED
2.2552845,2.05,14.688,5787.0,0.96,20820.0,CONFIRMED
1.8824539,2.46,8.29008,5900.4,1.13,1391.0,FALSE_POSITIVE
15.196,1.792,4.96345,5807.0,1.14,1970.0,FALSE_POSITIVE
2.1358631,1.559,23.6019,5969.0,1.5,10325.0,FALSE_POSITIVE
6.7075429,2.125,17.4647,6134.3,1.24,11920.0,CANDIDATE
3.5862962,3.3710943,16.4747611,5704.8,2.00441,5729.3246858,CONFIRMED
1.8296155,2.166,29.3616,7875.0,3.5,1406.0,FALSE_POSITIVE
